"logPo2" " T/C" "Ox content" "Charge"  "relax number"  Ca3Co4O9 weight: 0.1406 density:  4.60 molar mass:  499.9 cell volume: 0.600
 -2.662   849.9   6.78356    0.00000  586
 -2.028   900.8   6.78327    0.00000  587
 -4.838   900.0   6.74669   -2.00671  588
 -5.204   849.8   6.74669    0.00000  589
 -5.575   799.3   6.74669    0.00000  590
 -5.879   749.1   6.74669    0.00000  591
 -5.613   799.8   6.74669    0.00000  592
 -5.273   850.2   6.74669    0.00000  593
 -4.711   900.0   6.74669    0.00000  594
 -4.956   899.9   6.74392   -0.14992  595
 -5.368   849.8   6.74392    0.00000  596
 -5.764   799.3   6.74392    0.00000  597
 -6.065   749.8   6.74392    0.00000  598
 -5.794   799.6   6.74392    0.00000  599
 -5.424   850.1   6.74392    0.00000  600
 -4.870   900.0   6.74392    0.00000  601
 -5.247   900.1   6.74043   -0.18962  602
 -5.628   850.0   6.74043    0.00000  603
 -5.967   799.8   6.74043    0.00000  604
 -6.171   749.4   6.74043    0.00000  605
 -6.002   799.8   6.74043    0.00000  606
 -5.674   850.6   6.74043    0.00000  607
 -5.147   900.7   6.74043    0.00000  608
 -5.542   901.0   6.73791   -0.13694  609
 -5.067   900.0   6.73976    0.10074  610
 -4.699   900.1   6.74161    0.10023  611
